date	duration	item	month	network	network_type
2/11/2014 6:58	34.429	data	2014-11	data	data
2/11/2014 14:34	459	call	2014-11	Three	mobile
2/11/2014 15:44	1023	call	2014-11	Three	mobile
2/11/2014 19:16	1025	call	2014-11	Three	mobile
2/11/2014 21:42	169	call	2014-11	Meteor	mobile
2/11/2014 22:55	8	call	2014-11	Meteor	mobile
3/11/2014 6:58	34.429	data	2014-11	data	data
3/11/2014 8:40	1	sms	2014-11	special	special
3/11/2014 10:30	135	call	2014-11	Three	mobile
3/11/2014 10:37	7	call	2014-11	Vodafone	mobile
3/11/2014 10:47	37	call	2014-11	Vodafone	mobile
3/11/2014 14:04	1	sms	2014-11	Vodafone	mobile
3/11/2014 15:27	5	call	2014-11	Three	mobile
3/11/2014 16:07	123	call	2014-11	landline	landline
3/11/2014 16:10	4	call	2014-11	Tesco	mobile
3/11/2014 17:03	90	call	2014-11	Vodafone	mobile
3/11/2014 22:36	3	call	2014-11	Tesco	mobile
4/11/2014 6:58	34.429	data	2014-11	data	data
4/11/2014 11:58	1	sms	2014-11	Vodafone	mobile
4/11/2014 11:58	1	sms	2014-11	Vodafone	mobile
4/11/2014 13:12	1	sms	2014-11	Three	mobile
4/11/2014 14:05	1	sms	2014-11	Three	mobile
4/11/2014 14:26	1	call	2014-11	voicemail	voicemail
4/11/2014 14:26	98	call	2014-11	voicemail	voicemail
4/11/2014 16:13	1	sms	2014-11	Three	mobile
4/11/2014 16:19	8	call	2014-11	Meteor	mobile
4/11/2014 16:22	9	call	2014-11	Meteor	mobile
4/11/2014 16:24	4	call	2014-11	Meteor	mobile
4/11/2014 16:34	1	sms	2014-11	Three	mobile
4/11/2014 16:39	1	sms	2014-11	Meteor	mobile
4/11/2014 16:41	1	sms	2014-11	Meteor	mobile
4/11/2014 16:45	1	sms	2014-11	Three	mobile
4/11/2014 18:26	4	call	2014-11	Tesco	mobile
4/11/2014 20:15	11	call	2014-11	Three	mobile
4/11/2014 20:15	1	sms	2014-11	Meteor	mobile
4/11/2014 20:15	1	sms	2014-11	Meteor	mobile
4/11/2014 20:16	166	call	2014-11	Meteor	mobile
5/11/2014 6:58	34.429	data	2014-11	data	data
5/11/2014 10:59	55	call	2014-11	Three	mobile
5/11/2014 11:30	1	sms	2014-11	Vodafone	mobile
5/11/2014 11:43	1	sms	2014-11	Vodafone	mobile
5/11/2014 12:43	1	sms	2014-11	Vodafone	mobile
5/11/2014 19:35	29	call	2014-11	Vodafone	mobile
6/11/2014 1:02	1	sms	2014-11	Vodafone	mobile
6/11/2014 1:02	1	sms	2014-11	Vodafone	mobile
6/11/2014 6:58	34.429	data	2014-11	data	data
6/11/2014 9:04	1	sms	2014-11	Vodafone	mobile
6/11/2014 9:05	1	sms	2014-11	Vodafone	mobile
6/11/2014 9:47	150	call	2014-11	Vodafone	mobile
6/11/2014 9:50	89	call	2014-11	Three	mobile
6/11/2014 9:52	75	call	2014-11	Meteor	mobile
6/11/2014 9:54	5	call	2014-11	Three	mobile
6/11/2014 11:47	8	call	2014-11	Vodafone	mobile
6/11/2014 14:52	1	sms	2014-11	Vodafone	mobile
